(86.6025, -50.0)
(80.829, -46.6667)
(75.0555, -43.3333)
(69.282, -40.0)
(63.5085, -36.6667)
(57.735, -33.3333)
(51.9615, -30.0)
(46.188, -26.6667)
(40.4145, -23.3333)
(34.641, -20.0)
(28.8675, -16.6667)
(23.094, -13.3333)
(17.3205, -10.0)
(11.547, -6.6667)
(5.7735, -3.3333)
(0.0, 0.0)
(-5.7735, 3.3333)
(-11.547, 6.6667)
(-17.3205, 10.0)
(-23.094, 13.3333)
(-28.8675, 16.6667)
(-34.641, 20.0)
(-40.4145, 23.3333)
(-46.188, 26.6667)
(-51.9615, 30.0)
(-57.735, 33.3333)
(-63.5085, 36.6667)
(-69.282, 40.0)
(-75.0555, 43.3333)
(-80.829, 46.6667)
(-86.6025, 50.0)
